,C. sp X1,C. sp X2,C. sp X3,C. sp X4,C. sp X5,C. sp X6,C. sp X7,C. sp X8,C. sp X9,descriptions
PF00043,11,16,27,9,67,11,19,27,20,"Glutathione S-transferase, C-terminal domain"
PF00044,1,6,5,1,10,1,2,4,4,"Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain"
PF00046,5,4,5,5,5,5,5,5,5,Homeodomain
PF00056,2,5,5,2,10,2,4,5,2,"lactate/malate dehydrogenase, NAD binding domain"
PF00060,0,0,0,0,0,0,0,0,2,Ligand-gated ion channel
PF00063,4,4,4,4,4,4,4,4,4,Myosin head (motor domain)
PF00067,94,92,94,85,61,58,80,82,79,Cytochrome P450
PF00069,116,146,136,119,124,116,110,117,140,Protein kinase domain
PF00070,10,53,74,10,94,10,18,31,37,Pyridine nucleotide-disulphide oxidoreductase
PF00071,27,35,31,30,35,31,30,31,31,Ras family
PF00072,13,104,160,12,326,12,41,107,120,Response regulator receiver domain
PF00075,5,9,8,4,10,4,6,8,8,RNase H
PF00076,65,66,63,65,69,65,68,66,66,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
PF00077,0,0,1,0,0,0,0,2,0,Retroviral aspartyl protease
PF00078,1,4,3,1,4,0,0,3,1,Reverse transcriptase (RNA-dependent DNA polymerase)
PF00079,0,1,2,0,0,0,0,0,0,Serpin (serine protease inhibitor)
PF00080,2,2,3,2,5,2,1,2,3,Copper/zinc superoxide dismutase (SODC)
PF00081,1,4,6,1,13,1,2,5,6,"Iron/manganese superoxide dismutases, alpha-hairpin domain"
PF00082,8,22,22,7,22,4,6,12,15,Subtilase family
PF00083,26,35,39,28,38,24,23,27,39,Sugar (and other) transporter
PF00085,8,16,20,8,21,8,12,14,14,Thioredoxin
PF00089,0,14,22,0,37,0,2,5,13,Trypsin
PF00091,3,10,7,3,10,3,4,6,5,"Tubulin/FtsZ family, GTPase domain"
PF00092,5,9,10,5,11,3,5,5,8,von Willebrand factor type A domain
PF00096,22,17,19,16,17,22,16,21,15,"Zinc finger, C2H2 type"
PF00097,22,24,24,20,23,24,25,24,27,"Zinc finger, C3HC4 type (RING finger)"
PF00098,7,8,8,8,5,9,7,8,8,Zinc knuckle
PF00101,0,0,1,0,6,0,0,0,1,"Ribulose bisphosphate carboxylase, small chain"
PF00102,1,1,1,1,1,1,1,1,1,Protein-tyrosine phosphatase
PF00106,113,275,382,90,487,79,172,228,231,short chain dehydrogenase
PF00107,44,93,146,39,162,34,54,72,94,Zinc-binding dehydrogenase
PF00108,5,15,25,5,29,5,8,17,14,"Thiolase, N-terminal domain"
PF00109,28,31,32,28,44,18,23,28,30,"Beta-ketoacyl synthase, N-terminal domain"
PF00111,3,11,43,3,89,3,14,30,10,2Fe-2S iron-sulfur cluster binding domain
PF00113,1,5,8,1,10,1,2,4,5,"Enolase, C-terminal TIM barrel domain"
PF00115,0,7,7,0,15,0,3,5,3,Cytochrome C and Quinol oxidase polypeptide I
PF00116,0,7,7,0,13,0,2,4,3,"Cytochrome C oxidase subunit II, periplasmic domain"
PF00117,10,36,51,9,61,8,16,27,27,Glutamine amidotransferase class-I
PF00118,9,15,18,10,24,9,10,12,15,TCP-1/cpn60 chaperonin family
PF00119,0,3,6,0,6,0,1,3,3,ATP synthase A chain
PF00120,1,8,12,1,15,1,2,4,15,"Glutamine synthetase, catalytic domain"
PF00121,2,7,9,2,9,1,3,5,7,Triosephosphate isomerase
PF00122,13,21,23,14,39,14,15,17,21,E1-E2 ATPase
PF00124,0,0,2,0,13,0,1,0,1,Photosynthetic reaction centre protein
PF00125,7,8,7,5,5,6,5,6,9,Core histone H2A/H2B/H3/H4
PF00126,0,27,73,0,188,0,41,66,17,"Bacterial regulatory helix-turn-helix protein, lysR family"
PF00127,0,6,2,0,3,0,0,0,1,"Copper binding proteins, plastocyanin/azurin family"
PF00128,5,16,15,4,21,4,8,6,17,"Alpha amylase, catalytic domain"
PF00130,2,2,2,2,2,2,2,2,2,Phorbol esters/diacylglycerol binding domain (C1 domain)
PF00132,5,26,18,6,42,6,10,22,23,Bacterial transferase hexapeptide (six repeats)
PF00133,3,14,16,3,20,3,5,9,10,"tRNA synthetases class I (I, L, M and V)"
PF00134,9,8,9,7,8,8,9,9,7,"Cyclin, N-terminal domain"
PF00135,10,7,12,8,10,4,5,8,7,Carboxylesterase family
PF00136,4,4,4,4,4,4,4,4,4,DNA polymerase family B
PF00137,4,9,10,4,10,4,6,8,9,ATP synthase subunit C
PF00140,0,13,14,0,17,0,2,6,6,"Sigma-70 factor, region 1.2"
PF00141,2,3,3,2,6,2,3,4,2,Peroxidase
PF00142,0,3,3,0,12,0,0,1,2,"4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family"
PF00144,4,16,27,4,50,2,12,25,11,Beta-lactamase
PF00145,4,8,5,4,10,1,7,4,7,C-5 cytosine-specific DNA methylase
PF00146,0,4,3,0,8,0,2,3,1,NADH dehydrogenase
PF00148,0,0,4,0,13,0,0,1,3,Nitrogenase component 1 type Oxidoreductase
PF00149,17,52,45,19,65,19,24,35,35,Calcineurin-like phosphoesterase
PF00150,7,11,12,7,14,7,8,14,7,Cellulase (glycosyl hydrolase family 5)
PF00152,6,13,15,6,19,7,8,11,12,"tRNA synthetases class II (D, K and N) "
PF00153,32,37,37,33,35,35,35,35,37,Mitochondrial carrier protein
PF00154,1,5,5,1,10,1,2,4,4,recA bacterial DNA recombination protein
PF00155,17,57,69,16,95,14,24,41,43,Aminotransferase class I and II
PF00156,4,27,31,5,40,5,6,15,17,Phosphoribosyl transferase domain
PF00158,3,12,22,3,46,2,10,20,12,Sigma-54 interaction domain
PF00160,11,17,22,11,25,11,15,19,17,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF00162,1,5,5,1,8,1,1,4,4,Phosphoglycerate kinase
PF00163,2,5,5,2,7,1,3,6,5,Ribosomal protein S4/S9 N-terminal domain
PF00164,1,6,5,2,10,2,4,5,5,Ribosomal protein S12/S23
PF00165,0,12,19,0,43,0,5,10,14,"Bacterial regulatory helix-turn-helix proteins, AraC family"
PF00166,1,7,8,1,13,1,2,4,4,Chaperonin 10 Kd subunit
PF00168,10,10,10,11,10,9,11,10,11,C2 domain
PF00169,10,11,11,10,10,11,11,11,11,PH domain
PF00170,11,11,10,11,7,9,11,10,10,bZIP transcription factor
PF00171,9,44,77,10,76,10,22,37,39,Aldehyde dehydrogenase family
PF00172,57,56,56,53,49,50,55,59,54,Fungal Zn(2)-Cys(6) binuclear cluster domain
PF00173,19,18,18,18,17,18,18,18,19,Cytochrome b5-like Heme/Steroid binding domain
PF00174,2,17,16,2,23,2,4,10,10,Oxidoreductase molybdopterin binding domain
PF00175,7,13,20,9,34,7,9,11,11,Oxidoreductase NAD-binding domain 
PF00176,23,35,31,26,41,25,25,24,36,SNF2 family N-terminal domain
PF00177,2,6,6,2,9,2,3,5,5,Ribosomal protein S7p/S5e
PF00179,22,23,23,24,21,22,23,22,22,Ubiquitin-conjugating enzyme
PF00180,5,10,19,5,34,6,8,13,12,Isocitrate/isopropylmalate dehydrogenase
PF00181,2,6,7,2,8,2,3,5,5,"Ribosomal Proteins L2, RNA binding domain"
PF00183,1,1,1,1,3,1,1,1,1,Hsp90 protein
PF00185,2,11,11,2,14,2,3,7,7,"Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain"
PF00186,1,3,3,1,1,1,2,3,3,Dihydrofolate reductase
PF00187,4,3,3,3,2,4,3,3,4,Chitin recognition protein
PF00188,3,10,9,2,8,4,3,7,5,Cysteine-rich secretory protein family
PF00189,1,5,6,1,7,1,2,4,3,"Ribosomal protein S3, C-terminal domain"
PF00190,1,3,5,1,11,1,1,4,3,Cupin
PF00191,2,2,2,2,2,2,2,2,2,Annexin
PF00194,2,1,4,1,3,1,1,1,3,Eukaryotic-type carbonic anhydrase
PF00195,1,3,8,1,8,1,1,7,4,"Chalcone and stilbene synthases, N-terminal domain"
PF00196,0,49,63,0,51,0,3,13,32,"Bacterial regulatory proteins, luxR family"
PF00198,3,15,23,3,23,3,6,13,14,2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF00199,2,6,3,2,9,2,2,2,5,Catalase
PF00200,1,1,1,0,1,1,0,1,1,Disintegrin
PF00202,6,21,31,6,32,6,7,13,26,Aminotransferase class-III
PF00203,2,5,1,4,7,2,3,4,2,Ribosomal protein S19
PF00204,1,7,9,1,15,1,3,7,6,DNA gyrase B
PF00205,4,19,27,4,62,4,7,13,14,"Thiamine pyrophosphate enzyme, central domain"
PF00206,3,18,18,3,29,3,6,15,12,Lyase
PF00207,0,0,0,0,3,0,0,0,1,Alpha-2-macroglobulin family
PF00208,2,4,6,2,8,2,2,2,6,Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
PF00209,0,1,1,1,0,0,0,0,1,Sodium:neurotransmitter symporter family
PF00210,0,6,4,0,8,0,0,1,4,Ferritin-like domain
PF00211,1,2,6,1,13,1,2,1,4,Adenylate and Guanylate cyclase catalytic domain
PF00213,1,4,5,1,8,1,2,3,4,ATP synthase delta (OSCP) subunit
PF00215,1,7,6,1,7,1,2,4,5,Orotidine 5'-phosphate decarboxylase / HUMPS family
PF00216,0,4,10,0,24,0,4,7,3,Bacterial DNA-binding protein
PF00218,1,4,8,1,14,1,2,6,5,Indole-3-glycerol phosphate synthase
PF00221,4,6,6,2,6,3,3,5,3,Aromatic amino acid lyase
PF00223,0,0,0,0,1,0,0,0,1,Photosystem I psaA/psaB protein
PF00224,1,5,6,1,6,1,2,3,4,"Pyruvate kinase, barrel domain"
PF00225,10,10,11,10,10,11,11,10,11,Kinesin motor domain
PF00226,27,35,40,24,51,27,31,34,37,DnaJ domain
PF00227,14,16,17,14,20,14,15,17,18,Proteasome subunit
PF00230,3,6,10,3,8,3,2,3,6,Major intrinsic protein
PF00231,1,4,5,1,9,1,2,4,4,ATP synthase
PF00232,0,2,5,0,5,0,1,2,4,Glycosyl hydrolase family 1
PF00233,1,1,1,1,1,1,1,1,1,3'5'-cyclic nucleotide phosphodiesterase
PF00235,1,1,1,1,1,1,1,1,1,Profilin
PF00237,2,6,7,2,7,2,3,4,5,Ribosomal protein L22p/L17e
PF00238,2,6,5,2,7,2,2,5,5,Ribosomal protein L14p/L23e
PF00239,0,14,21,0,120,0,23,13,12,"Resolvase, N terminal domain"
PF00240,7,6,8,6,6,7,6,7,5,Ubiquitin family
PF00241,4,4,3,4,4,4,4,4,4,Cofilin/tropomyosin-type actin-binding protein
PF00244,2,2,2,2,2,2,2,2,2,14-3-3 protein
PF00245,2,2,3,2,4,2,2,2,8,Alkaline phosphatase
PF00246,2,6,7,2,7,2,2,2,6,Zinc carboxypeptidase
PF00248,20,79,76,20,102,20,26,37,74,Aldo/keto reductase family
PF00249,11,10,9,10,9,8,9,12,9,Myb-like DNA-binding domain
PF00250,4,4,4,4,4,4,4,4,4,Forkhead domain
PF00251,1,1,1,1,2,1,1,1,2,Glycosyl hydrolases family 32 N-terminal domain
PF00252,1,5,6,2,7,3,3,5,4,Ribosomal protein L16p/L10e
PF00253,2,2,6,1,9,2,2,4,4,Ribosomal protein S14p/S29e
PF00254,3,11,11,3,14,3,5,10,7,FKBP-type peptidyl-prolyl cis-trans isomerase
PF00255,1,2,2,1,4,1,2,1,1,Glutathione peroxidase
PF00258,5,5,6,6,9,5,6,6,7,Flavodoxin
PF00262,1,1,1,1,1,1,1,1,1,Calreticulin family
PF00263,0,0,5,0,13,0,3,6,1,Bacterial type II and III secretion system protein
PF00264,5,4,5,5,4,3,5,4,4,Common central domain of tyrosinase
PF00265,0,1,3,0,1,0,1,2,2,Thymidine kinase
PF00266,6,25,37,5,52,8,13,21,21,Aminotransferase class-V
PF00268,1,5,4,1,5,1,2,2,3,"Ribonucleotide reductase, small chain"
PF00270,45,75,80,44,114,44,54,70,82,DEAD/DEAH box helicase
PF00271,74,125,124,76,174,74,87,102,128,Helicase conserved C-terminal domain
PF00275,1,8,11,1,15,1,3,6,7,EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
PF00276,2,6,7,2,7,2,3,5,3,Ribosomal protein L23
PF00278,1,6,11,1,18,1,5,9,3,"Pyridoxal-dependent decarboxylase, C-terminal sheet domain"
PF00281,2,6,7,2,9,2,3,5,3,Ribosomal protein L5
PF00282,7,9,10,5,9,5,5,5,6,Pyridoxal-dependent decarboxylase conserved domain
PF00283,0,1,1,0,3,2,1,1,2,"Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits"
PF00284,0,1,1,0,3,2,1,1,2,"Lumenal portion of Cytochrome b559, alpha (gene psbE) subunit"
PF00285,3,10,12,3,17,3,6,13,11,"Citrate synthase, C-terminal domain"
PF00288,4,16,14,5,14,4,6,10,12,GHMP kinases N terminal domain
PF00289,3,11,14,3,18,3,6,13,9,"Biotin carboxylase, N-terminal domain"
PF00290,1,5,6,1,9,1,2,4,4,Tryptophan synthase alpha chain
PF00291,7,28,38,7,67,7,15,29,26,Pyridoxal-phosphate dependent enzyme
PF00293,12,48,59,13,71,9,15,33,34,NUDIX domain
PF00294,2,26,32,4,38,2,6,10,22,pfkB family carbohydrate kinase
PF00295,0,0,0,0,0,0,0,0,1,Glycosyl hydrolases family 28
PF00296,0,36,48,0,41,0,8,9,30,Luciferase-like monooxygenase
PF00297,1,1,1,1,1,1,1,1,1,Ribosomal protein L3
PF00298,2,4,7,2,8,2,3,5,5,"Ribosomal protein L11, RNA binding domain"
PF00300,10,23,32,10,40,10,15,21,23,Histidine phosphatase superfamily (branch 1)
PF00301,0,1,1,0,0,0,0,0,0,Rubredoxin
PF00303,1,4,3,1,3,1,2,3,1,Thymidylate synthase
PF00306,1,4,6,2,9,3,3,5,4,"ATP synthase alpha/beta chain, C terminal domain"
PF00307,5,5,5,5,5,5,5,5,5,Calponin homology (CH) domain
PF00308,0,8,6,0,9,0,1,4,2,Bacterial dnaA  protein
PF00309,0,0,0,0,4,0,1,4,0,"Sigma-54 factor, Activator interacting domain (AID) "
PF00310,1,5,5,1,8,1,2,4,3,Glutamine amidotransferases class-II
PF00311,0,1,4,0,2,0,1,2,3,Phosphoenolpyruvate carboxylase
PF00312,2,5,7,2,6,2,3,5,4,Ribosomal protein S15
PF00313,0,13,13,0,27,0,3,9,4,'Cold-shock' DNA-binding domain
PF00314,1,1,1,1,1,1,1,1,1,Thaumatin family
PF00316,1,1,2,1,5,1,1,1,1,"Fructose-1-6-bisphosphatase, N-terminal domain"
PF00317,1,4,5,1,7,1,3,4,3,"Ribonucleotide reductase, all-alpha domain"
PF00318,1,4,5,1,8,1,2,5,4,Ribosomal protein S2
PF00319,4,2,2,2,2,3,2,2,3,SRF-type transcription factor (DNA-binding and dimerisation domain)
PF00320,7,8,8,8,8,6,8,8,8,GATA zinc finger
PF00324,34,42,60,30,44,28,31,42,53,Amino acid permease
PF00325,0,0,10,0,20,0,1,11,0,"Bacterial regulatory proteins, crp family"
PF00326,3,24,28,3,38,3,13,28,14,Prolyl oligopeptidase family
PF00327,2,3,4,2,5,2,3,3,3,Ribosomal protein L30p/L7e
PF00328,5,3,5,5,5,4,5,4,5,Histidine phosphatase superfamily (branch 2)
PF00329,1,4,4,1,7,1,2,4,1,"Respiratory-chain NADH dehydrogenase, 30 Kd subunit"
PF00330,4,11,14,4,19,4,7,8,10,Aconitase family (aconitate hydratase)
PF00331,0,0,0,0,3,0,0,0,2,Glycosyl hydrolase family 10
PF00332,1,1,1,1,1,1,1,1,1,Glycosyl hydrolases family 17
PF00333,2,6,7,2,9,2,3,5,5,"Ribosomal protein S5, N-terminal domain"
PF00334,1,5,6,1,6,1,2,4,3,Nucleoside diphosphate kinase
PF00338,2,5,5,2,7,1,3,5,4,Ribosomal protein S10p/S20e
PF00339,4,4,3,4,4,5,3,4,4,"Arrestin (or S-antigen), N-terminal domain"
PF00342,1,2,4,1,6,1,2,4,2,Phosphoglucose isomerase
PF00343,1,1,1,1,4,1,1,2,2,Carbohydrate phosphorylase
PF00344,1,6,6,1,7,1,2,5,3,SecY translocase
PF00345,0,0,0,0,2,0,0,1,0,"Pili and flagellar-assembly chaperone, PapD N-terminal domain"
PF00346,1,4,5,1,10,1,2,4,2,"Respiratory-chain NADH dehydrogenase, 49 Kd subunit"
PF00347,2,6,7,2,8,2,3,5,5,Ribosomal protein L6
PF00348,5,13,14,4,22,3,6,11,10,Polyprenyl synthetase
PF00349,3,3,3,3,3,3,3,4,3,Hexokinase
PF00350,15,12,10,9,10,9,9,9,12,Dynamin family
PF00351,0,2,2,0,3,0,0,2,0,Biopterin-dependent aromatic amino acid hydroxylase
PF00352,1,1,1,1,1,1,1,1,1,"Transcription factor TFIID (or TATA-binding protein, TBP)"
PF00353,0,8,53,0,118,0,10,22,10,RTX calcium-binding nonapeptide repeat (4 copies)
PF00355,4,21,29,4,39,4,6,15,20,Rieske [2Fe-2S] domain
PF00356,0,46,26,0,18,0,4,3,27,"Bacterial regulatory proteins, lacI family"
PF00358,0,0,1,0,1,0,1,2,0,"phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1"
PF00359,0,2,1,0,4,0,1,3,0,"Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2"
PF00360,1,1,1,1,9,1,1,3,2,Phytochrome region
PF00361,0,10,7,0,15,0,6,6,3,Proton-conducting membrane transporter
PF00364,7,25,36,7,52,7,14,28,21,Biotin-requiring enzyme
PF00365,1,5,5,1,2,1,1,3,3,Phosphofructokinase
PF00366,2,6,6,2,8,2,3,5,4,Ribosomal protein S17
PF00367,0,0,1,0,1,0,1,2,0,"phosphotransferase system, EIIB"
PF00368,2,2,5,2,4,2,2,3,2,Hydroxymethylglutaryl-coenzyme A reductase
PF00370,3,17,29,3,23,2,3,6,20,"FGGY family of carbohydrate kinases, N-terminal domain"
PF00375,0,1,5,0,6,0,3,9,2,Sodium:dicarboxylate symporter family
PF00376,0,29,11,0,14,0,2,5,8,MerR family regulatory protein
PF00378,6,25,40,6,89,6,10,28,15,Enoyl-CoA hydratase/isomerase
PF00380,2,6,6,2,9,2,2,5,5,Ribosomal protein S9/S16
PF00381,0,3,2,0,5,0,2,5,0,PTS HPr component phosphorylation site
PF00382,2,2,2,2,2,2,2,2,2,Transcription factor TFIIB repeat
PF00383,6,13,24,7,22,5,10,14,11,Cytidine and deoxycytidylate deaminase zinc-binding region
PF00384,1,10,8,1,26,0,1,3,7,Molybdopterin oxidoreductase
PF00385,3,4,3,3,3,5,4,3,5,Chromo (CHRromatin Organisation MOdifier) domain
PF00387,2,2,2,2,2,2,2,2,2,"Phosphatidylinositol-specific phospholipase C, Y domain"
PF00388,3,2,3,3,3,3,3,3,3,"Phosphatidylinositol-specific phospholipase C, X domain"
PF00389,4,13,23,5,54,4,9,19,12,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain"
PF00390,2,4,8,2,10,2,3,4,5,"Malic enzyme, N-terminal domain"
PF00391,0,3,7,0,18,0,3,9,6,"PEP-utilising enzyme, mobile domain"
PF00392,0,46,51,0,49,0,8,20,28,"Bacterial regulatory proteins, gntR family"
PF00393,1,4,3,1,4,2,1,1,5,"6-phosphogluconate dehydrogenase, C-terminal domain"
PF00394,5,7,5,6,4,5,4,5,5,Multicopper oxidase
PF00395,0,0,0,0,11,0,0,0,18,S-layer homology domain
PF00397,9,11,10,10,9,10,9,12,9,WW domain
PF00398,2,7,7,2,8,1,2,5,4,Ribosomal RNA adenine dimethylase
PF00399,4,4,3,3,3,4,4,3,3,Yeast PIR protein repeat
PF00400,90,91,92,86,101,87,89,88,96,"WD domain, G-beta repeat"
PF00401,0,0,0,0,0,0,0,0,1,"ATP synthase, Delta/Epsilon chain, long alpha-helix domain"
PF00403,4,10,10,5,13,3,5,5,8,Heavy-metal-associated domain
PF00406,4,10,9,4,10,5,6,8,8,Adenylate kinase
PF00408,2,12,14,2,16,2,5,8,13,"Phosphoglucomutase/phosphomannomutase, C-terminal domain"
PF00410,1,6,7,2,7,2,3,5,5,Ribosomal protein S8
PF00411,2,6,7,2,9,2,4,4,5,Ribosomal protein S11
PF00412,4,4,4,5,4,4,4,4,4,LIM domain
PF00413,0,0,2,0,10,0,2,4,0,Matrixin
PF00415,4,4,4,4,4,4,4,4,4,Regulator of chromosome condensation (RCC1) repeat
PF00416,2,6,6,2,7,2,3,5,3,Ribosomal protein S13/S18
PF00420,0,5,3,0,6,0,0,3,0,NADH-ubiquinone/plastoquinone oxidoreductase chain 4L
PF00421,0,0,1,0,2,1,0,0,2,Photosystem II protein
PF00425,2,12,12,2,17,2,4,7,9,chorismate binding enzyme
PF00427,0,0,0,0,3,0,0,0,3,Phycobilisome Linker polypeptide
PF00428,3,3,3,3,3,3,3,4,3,60s Acidic ribosomal protein
PF00430,0,3,7,0,7,0,1,4,3,ATP synthase B/B' CF(0)
PF00432,4,4,7,5,9,4,4,5,5,Prenyltransferase and squalene oxidase repeat
PF00433,3,3,3,3,4,4,3,3,3,Protein kinase C terminal domain
PF00436,1,8,8,1,11,1,2,3,6,Single-strand binding protein family
PF00437,0,10,19,0,32,0,5,7,12,Type II/IV secretion system protein
PF00438,0,5,7,1,8,1,2,2,4,"S-adenosylmethionine synthetase, N-terminal domain"
PF00439,7,7,7,8,7,7,7,7,8,Bromodomain
PF00440,0,88,128,0,98,0,15,45,44,"Bacterial regulatory proteins, tetR family"
PF00441,5,23,44,5,80,5,17,32,13,"Acyl-CoA dehydrogenase, C-terminal domain"
PF00443,15,17,17,16,16,16,15,16,16,Ubiquitin carboxyl-terminal hydrolase
PF00444,1,1,1,1,0,0,1,0,1,Ribosomal protein L36
PF00445,1,1,1,1,1,1,1,1,1,Ribonuclease T2 family
PF00447,3,3,3,3,3,3,3,3,3,HSF-type DNA-binding
PF00448,2,8,9,2,21,2,4,9,6,"SRP54-type protein, GTPase domain"
PF00449,1,1,4,1,7,1,1,1,6,"Urease alpha-subunit, N-terminal domain"
PF00450,6,8,9,8,7,6,8,8,8,Serine carboxypeptidase
PF00453,0,5,3,0,7,0,0,4,3,Ribosomal protein L20
PF00454,6,6,6,6,6,6,6,6,6,Phosphatidylinositol 3- and 4-kinase
PF00455,0,7,13,0,6,0,0,1,5,DeoR C terminal sensor domain
PF00456,1,7,8,1,23,1,2,5,6,"Transketolase, thiamine diphosphate binding domain"
PF00459,2,10,13,2,28,2,4,11,8,Inositol monophosphatase family
PF00460,0,4,6,0,20,0,1,13,6,Flagella basal body rod protein
PF00462,4,13,9,4,16,4,7,8,6,Glutaredoxin
PF00463,2,2,2,2,2,2,2,2,2,Isocitrate lyase family
PF00464,2,5,7,2,8,2,3,6,5,Serine hydroxymethyltransferase
PF00465,1,6,15,3,17,2,3,6,5,Iron-containing alcohol dehydrogenase 
PF00466,2,6,7,2,9,2,3,6,5,Ribosomal protein L10
PF00467,1,4,2,2,9,1,3,3,2,KOW motif
PF00468,0,1,0,0,1,0,0,0,0,Ribosomal protein L34
PF00471,0,3,2,0,7,0,1,3,1,Ribosomal protein L33
PF00472,2,11,12,1,19,2,4,10,8,RF-1 domain
PF00474,2,7,8,2,9,2,4,4,7,Sodium:solute symporter family
PF00475,1,5,5,1,7,1,2,4,3,Imidazoleglycerol-phosphate dehydratase
PF00476,1,6,6,1,9,1,2,6,4,DNA polymerase family A
PF00478,5,11,9,3,11,5,6,8,9,IMP dehydrogenase / GMP reductase domain
PF00479,2,10,10,2,11,2,3,4,9,"Glucose-6-phosphate dehydrogenase, NAD binding domain"
PF00480,0,26,17,0,13,0,2,2,20,ROK family
PF00481,4,5,5,6,6,4,3,3,6,Protein phosphatase 2C
PF00482,0,13,11,0,14,0,3,7,6,"Type II secretion system (T2SS), protein F"
PF00483,3,21,31,3,44,2,8,21,21,Nucleotidyl transferase
PF00484,2,3,8,2,15,2,4,8,4,Carbonic anhydrase
PF00485,1,3,4,1,8,1,2,1,5,Phosphoribulokinase / Uridine kinase family
PF00486,0,41,49,0,91,0,7,26,37,"Transcriptional regulatory protein, C terminal"
PF00487,5,11,15,6,12,6,6,7,10,Fatty acid desaturase
PF00488,6,6,10,6,16,6,7,10,8,MutS domain V
PF00490,1,5,6,1,8,1,2,4,5,Delta-aminolevulinic acid dehydratase
PF00491,4,8,16,3,21,3,6,7,10,Arginase family
PF00493,6,8,6,6,6,6,8,7,6,MCM P-loop domain
PF00494,3,8,9,3,19,3,3,8,6,Squalene/phytoene synthase
PF00496,0,16,31,0,120,0,1,24,12,"Bacterial extracellular solute-binding proteins, family 5 Middle"
PF00497,0,11,11,0,63,0,1,8,14,"Bacterial extracellular solute-binding proteins, family 3"
PF00498,11,27,20,10,15,11,10,9,18,FHA domain
PF00499,0,4,3,0,5,0,2,3,0,NADH-ubiquinone/plastoquinone oxidoreductase chain 6
PF00501,37,58,84,38,125,31,39,52,56,AMP-binding enzyme
PF00502,0,0,0,0,7,0,0,0,6,Phycobilisome protein
PF00503,5,5,4,5,5,5,4,5,4,G-protein alpha subunit
PF00505,7,8,8,7,8,8,7,7,8,HMG (high mobility group) box
PF00507,0,4,4,0,5,0,1,3,0,"NADH-ubiquinone/plastoquinone oxidoreductase, chain 3"
PF00510,0,5,4,0,8,0,3,5,3,Cytochrome c oxidase subunit III
PF00512,9,46,75,8,182,8,27,56,68,His Kinase A (phospho-acceptor) domain
PF00514,2,2,2,2,2,2,2,2,2,Armadillo/beta-catenin-like repeat
PF00515,6,6,6,6,19,7,6,7,20,Tetratricopeptide repeat
PF00520,2,2,1,1,10,3,1,5,2,Ion transport protein
PF00521,1,7,8,1,13,1,3,7,7,"DNA gyrase/topoisomerase IV, subunit A"
